target_id,field,source_value,source_valid,protocol_code,decoded_value,decoded_valid,absolute_error/tolerance,passed
4b5d6e,vertical_rate,,False,0,,False,N/A,True
4b5d6e,callsign,VIKTOR31,True,,VIKTOR31,True,N/A,True
4b5c39,lat,47.458,True,3203003,47.45800911379078,True,9.11379e-06/4.29154e-05,True
4b5c39,lon,8.5506,True,2196773,8.550583970685949,True,1.60293e-05/8.58307e-05,True
4b5c39,altitude,,False,0,,False,N/A,True
4b5c39,speed,4.63,True,46,4.6000000000000005,True,0.03/0.1,True
4b5c39,heading,278.44,True,27844,278.44,True,0/0.01,True
4b5c39,vertical_rate,,False,0,,False,N/A,True
4b5c39,callsign,GALA21,True,,GALA21,True,N/A,True
4b5c1b,lat,47.4568,True,3202975,47.45680748386562,True,7.48387e-06/4.29154e-05,True
4b5c1b,lon,8.5628,True,2196915,8.562771931355456,True,2.80686e-05/8.58307e-05,True
4b5c1b,altitude,,False,0,,False,N/A,True
4b5c1b,speed,0.26,True,3,0.30000000000000004,True,0.04/0.1,True
4b5c1b,heading,300.94,True,30094,300.94,True,0/0.01,True
4b5c1b,vertical_rate,,False,0,,False,N/A,True
4b5c1b,callsign,URSULA8,True,,URSULA8,True,N/A,True
48ea3a,lat,47.9068,True,3213461,47.90681789083908,True,1.78908e-05/4.29154e-05,True
